name,street,city,state,zip,type
RAVENA MIDDLE SCHOOL,2025 RT 9W,RAVENA,NY,12143,OTHER
COHOES CITY SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,OTHER
ABRAM LANSING SCHOOL,26 JAMES ST,COHOES,NY,12047,OTHER
VAN SCHAICK ISLAND SCHOOL,150 CONTINENTAL AVE,COHOES,NY,12047,OTHER
COHOES HIGH SCHOOL,1 TIGER WAY,COHOES,NY,12047,OTHER
COHOES MIDDLE SCHOOL,7 BEVAN ST,COHOES,NY,12047,OTHER
HARMONY HILL SCHOOL,MADELON K HICKEY WAY,COHOES,NY,12047,OTHER
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,OTHER
ROESSLEVILLE SCHOOL,100 CALIFORNIA AVE,ALBANY,NY,12205,OTHER
SADDLEWOOD ELEMENTARY SCHOOL,100 LORALEE DR,ALBANY,NY,12205,OTHER
SHAKER ROAD ELEMENTARY SCHOOL,512 ALBANY SHAKER RD,ALBANY,NY,12211,OTHER
COLONIE CENTRAL HIGH SCHOOL,1 RAIDER BLVD,ALBANY,NY,12205,OTHER
FOREST PARK ELEMENTARY SCHOOL,100 FOREST DR,ALBANY,NY,12205,OTHER
VEEDER ELEMENTARY SCHOOL,25 VEEDER DR,ALBANY,NY,12205,OTHER
SAND CREEK MIDDLE SCHOOL,329 SAND CREEK RD,ALBANY,NY,12205,OTHER
LISHA KILL MIDDLE SCHOOL,68 WATERMAN AVE,ALBANY,NY,12205,OTHER
CHRISTIAN BROTHERS ACADEMY,12 AIRLINE DR,ALBANY,NY,12205,OTHER
HEBREW ACADEMY OF THE CAPITAL DISTRICT,54 SAND CREEK RD,ALBANY,NY,12205,OTHER
OUR SAVIOR'S LUTHERAN SCHOOL,63 MOUNTAIN VIEW AVE,ALBANY,NY,12205,OTHER
AN NUR ISLAMIC SCHOOL,2195 CENTRAL AVE,SCHENECTADY,NY,12304,OTHER
MENANDS UNION FREE SCHOOL DISTRICT,19 WARDS LN,MENANDS,NY,12204,OTHER
MENANDS SCHOOL,19 WARDS LN,MENANDS,NY,12204,OTHER
NORTH COLONIE CSD,91 FIDDLERS LN,LATHAM,NY,12110,OTHER
MAPLEWOOD SCHOOL,32 COHOES RD,WATERVLIET,NY,12189,OTHER
BLUE CREEK SCHOOL,100 CLINTON RD,LATHAM,NY,12110,OTHER
BOGHT HILLS SCHOOL,38 DUNSBACH FERRY RD,COHOES,NY,12047,OTHER
FORTS FERRY SCHOOL,95 FORTS FERRY RD,LATHAM,NY,12110,OTHER
LATHAM RIDGE SCHOOL,6 MERCER AVE,LATHAM,NY,12110,OTHER
LOUDONVILLE SCHOOL,349 OSBORNE RD,LOUDONVILLE,NY,12211,OTHER
SOUTHGATE SCHOOL,30 SOUTHGATE RD,LOUDONVILLE,NY,12211,OTHER
SHAKER JUNIOR HIGH SCHOOL,475 WATERVLIET-SHAKER RD,LATHAM,NY,12110,OTHER
SHAKER HIGH SCHOOL,445 WATERVLIET-SHAKER RD,LATHAM,NY,12110,OTHER
SAINT AMBROSE SCHOOL,347 OLD LOUDON RD,LATHAM,NY,12110,OTHER
SAINT PIUS X SCHOOL,75 UPPER LOUDON RD,LOUDONVILLE,NY,12211,OTHER
SAINT GREGORY'S SCHOOL FOR BOYS,121 OLD NISKAYUNA RD,LOUDONVILLE,NY,12211,OTHER
LOUDONVILLE CHRISTIAN SCHOOL,374 LOUDON RD,LOUDONVILLE,NY,12211,OTHER
SAINT COLMAN'S SCHOOL,11 HASWELL RD,WATERVLIET,NY,12189,OTHER
GREEN ISLAND UNION FREE SCHOOL DISTRICT,171 HUDSON AVE,GREEN ISLAND,NY,12183,OTHER
HEATLY SCHOOL,171 HUDSON AVE,GREEN ISLAND,NY,12183,OTHER
GUILDERLAND CENTRAL SCHOOL DISTRICT,6076 STATE FARM RD,GUILDERLAND,NY,12084,OTHER
ALTAMONT ELEMENTARY SCHOOL,PO BOX 648,ALTAMONT,NY,12009,OTHER
GUILDERLAND ELEMENTARY SCHOOL,2225 WESTERN AVE,GUILDERLAND,NY,12084,OTHER
WESTMERE ELEMENTARY SCHOOL,6270 JOHNSTON RD,ALBANY,NY,12203,OTHER
GUILDERLAND HIGH SCHOOL,PO BOX 37,GUILDERLAND CENTER,NY,12085,OTHER
LYNNWOOD ELEMENTARY SCHOOL,8 REGINA DR,SCHENECTADY,NY,12303,OTHER
FARNSWORTH MIDDLE SCHOOL,6072 STATE FARM RD,GUILDERLAND,NY,12084,OTHER
PINE BUSH ELEMENTARY SCHOOL,3437 CARMAN RD,SCHENECTADY,NY,12303,OTHER
CHRIST THE KING SCHOOL,20 SUMTER AVE,ALBANY,NY,12203,OTHER
SAINT MADELEINE SOPHIE SCHOOL,3510 CARMAN RD,SCHENECTADY,NY,12303,OTHER
COBB MEMORIAL SCHOOL,PO BOX 503,ALTAMONT,NY,12009,OTHER
VOORHEESVILLE CENTRAL SCHOOL DISTRICT,PO BOX 498,VOORHEESVILLE,NY,12186,OTHER
VOORHEESVILLE ELEMENTARY SCHOOL,PO BOX 468,VOORHEESVILLE,NY,12186,OTHER
C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,PO BOX 528,VOORHEESVILLE,NY,12186,OTHER
VOORHEESVILLE MIDDLE SCHOOL,432 NEW SALEM RD,VOORHEESVILLE,NY,12186,OTHER
WATERVLIET CITY SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,NY,12189,OTHER
WATERVLIET ELEMENTARY SCHOOL,2557 10TH AVE,WATERVLIET,NY,12189,OTHER
WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,1245 HILLSIDE DR,WATERVLIET,NY,12189,OTHER
SAINT BRIGID'S REGIONAL CATHOLIC SCHOOL,700 5TH AVE,WATERVLIET,NY,12189,OTHER
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,OTHER
ALFRED-ALMOND ELEMENTARY SCHOOL,6795 RT 21,ALMOND,NY,14804,OTHER
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,6795 RT 21,ALMOND,NY,14804,OTHER
ANDOVER CENTRAL SCHOOL DISTRICT,PO BOX G,ANDOVER,NY,14806,OTHER
ANDOVER SCHOOL,PO BOX G,ANDOVER,NY,14806,OTHER
GENESEE VALLEY CENTRAL SCHOOL DISTRICT AT ANGELICA-BELMONT,1 JAGUAR DR,BELMONT,NY,14813,OTHER
GENESEE VALLEY CENTRAL SCHOOL,1 JAGUAR DR,BELMONT,NY,14813,OTHER
BELFAST CENTRAL SCHOOL DISTRICT,PO BOX 336,BELFAST,NY,14711,OTHER
BELFAST SCHOOL,PO BOX 336,BELFAST,NY,14711,OTHER
VALLEYVIEW AMISH SCHOOL,RAMSEY RD,BELFAST,NY,14711,OTHER
CANASERAGA CENTRAL SCHOOL DISTRICT,PO BOX 230,CANASERAGA,NY,14822,OTHER
CANASERAGA SCHOOL,PO BOX 230,CANASERAGA,NY,14822,OTHER
FRIENDSHIP CENTRAL SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,OTHER
FRIENDSHIP CENTRAL SCHOOL,46 W MAIN ST,FRIENDSHIP,NY,14739,OTHER
FRIENDSHIP AMISH SCHOOL,WHITE CREEK RD,FRIENDSHIP,NY,14739,OTHER
FILLMORE CENTRAL SCHOOL DISTRICT,PO BOX 177,FILLMORE,NY,14735,OTHER
FILLMORE CENTRAL SCHOOL,PO BOX 177,FILLMORE,NY,14735,OTHER
HOUGHTON ACADEMY,9790 THAYER ST,HOUGHTON,NY,14744,OTHER
WHITESVILLE CENTRAL SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,OTHER
WHITESVILLE CENTRAL SCHOOL,692 MAIN ST,WHITESVILLE,NY,14897,OTHER
CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,5476 RT 305,CUBA,NY,14727,OTHER
CUBA-RUSHFORD HIGH SCHOOL,5476 RT 305 N,CUBA,NY,14727,OTHER
CUBA ELEMENTARY SCHOOL,15 ELM ST,CUBA,NY,14727,OTHER
RUSHFORD ELEMENTARY SCHOOL,9114 SCHOOL ST,RUSHFORD,NY,14777,OTHER
CUBA-RUSHFORD MIDDLE SCHOOL,5476 RT 305,CUBA,NY,14727,OTHER
SCIO CENTRAL SCHOOL DISTRICT,3968 WASHINGTON ST,SCIO,NY,14880,OTHER
SCIO CENTRAL SCHOOL,3968 WASHINGTON ST,SCIO,NY,14880,OTHER
WELLSVILLE CENTRAL SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,OTHER
WELLSVILLE MIDDLE SCHOOL,126 W STATE ST,WELLSVILLE,NY,14895,OTHER
WELLSVILLE SENIOR HIGH SCHOOL,126 W STATE ST,WELLSVILLE,NY,14895,OTHER
WELLSVILLE ELEMENTARY SCHOOL,98 SCHOOL ST,WELLSVILLE,NY,14895,OTHER
IMMACULATE CONCEPTION SCHOOL,24 MAPLE AVE,WELLSVILLE,NY,14895,OTHER
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,OTHER
BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,100 SCHOOL ST,BOLIVAR,NY,14715,OTHER
BOLIVAR-RICHBURG ELEMENTARY SCHOOL,MAIN ST,RICHBURG,NY,14774,OTHER
BOLIVAR-RICHBURG PRE-K PROGRAM,422 MAIN ST,BOLIVAR,NY,14715,OTHER
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,OTHER
CHARLOTTE KENYON ELEMENTARY SCHOOL,6 PATCH RD,BINGHAMTON,NY,13901,OTHER
JOHN R HARSHAW PRIMARY SCHOOL,6 PATCH RD,BINGHAMTON,NY,13901,OTHER
CHENANGO FORKS HIGH SCHOOL,1 GORDON DR,BINGHAMTON,NY,13901,OTHER
CHENANGO FORKS MIDDLE SCHOOL,1 GORDON DR,BINGHAMTON,NY,13901,OTHER
BINGHAMTON CITY SCHOOL DISTRICT,PO BOX 2126,BINGHAMTON,NY,13901,OTHER
CALVIN COOLIDGE SCHOOL,261 ROBINSON ST,BINGHAMTON,NY,13904,OTHER
